,Movie,Year,Genre,Rating,Url,Synopsis,Downloads
10,One Summer Story,2020,Family,7.1 / 10,https://yts.rs/movie/one-summer-story-2020," High school girl Minami is an athlete and exercises and swims. Shohei, who is a member of the calligraphy club, likes to draw and is working on a manga illustration. Minami notices it and is excited because she is a fan of the manga. They become fellows and when Minami embarks on a quest for her father Shohei is there to accompany her. Their journey is adventurous and diverse and the more people they meet the more they become whole. —aghaemi ",3131
11,Reed's Point,2022,Horror,3.1 / 10,https://yts.rs/movie/reeds-point-2022," A vehicle crash in the Pine Barrens leads to a missing teen which raises conspiracy theories about the infamous Jersey Devil legend. On the anniversary of the crash, Sarah Franklin, convinced her cousin Kelsey is alive, goes out to the crash site with Alex, Kelsey's boyfriend, to investigate. Things go downhill quickly as Sarah and Alex uncover what really lurks in the woods. ",6565
12,Le bourgeois gentilhomme,1982,Comedy,5.3 / 10,https://yts.rs/movie/le-bourgeois-gentilhomme-1982," Monsieur Jourdain is the main character of the Bourgeois Gentilhomme de Molière. Drapier enriched, he is trained in increasingly ridiculous actions by his desire to transform himself into a ""quality man"". For this, he ensures the lessons of masters who, while deploring his lack of provisions, must recognize that it constitutes for them ""a sweet rent"". All the action is around the preparation and the representation of a ballet to offer ""as a gift"" to the Marquise Dorimène, whom Mr. Jourdain is courting, not for love, but for the title that it represents. The action ends with a triple marriage between Lucile (the daughter of Monsieur Jourdain) and Cléonte (her fiance), Dorimène and Dorante (the marquise and her suitor), and Nicole and Covielle (the servants). Monsieur Jourdain will attend, with all the company, the famous ballet that had been prepared. ",2424
13,The King of the Streets,2012,Action,5 / 10,https://yts.rs/movie/the-king-of-the-streets-2012," Yue Feng (Yue Song) is a young thug with exceptional streetfighting abilities. He will stop at nothing to defeat all challengers - until, in an tragic accident, he kills a fellow competitor and is sent to prison. Eight years later, Yue Feng emerges a changed man. He no longer fights, and is looking for a new life of peace and fulfillment. But it's brutal on the streets, and redemption doesn't come easy. His brotherhood is destroyed, family members murdered, and a loved one humiliated - a deadly chain reaction that leaves him no choice but to unleash his power in the name of justice. The King of the Streets, China's first street-fighting movie, pits real-life martial artist Yue Song against more than 10 of the world's top contenders in MMA, Jiu-jitsu, Jeet Kune Do, Sanda, and Muay Thai boxing. —Anonymous ",3939
14,The Memories of Happiness,2017,Drama,4.8 / 10,https://yts.rs/movie/the-memories-of-happiness-2017," Taro's business failed and he got divorced. He also left his family's home. 5 years later, his oldest daughter Natsumi, second daughter Yuka and ex-wife Junko still live in the same house which Taro left. One day, Taro, who has been having difficulties paying his rent, visits his daughter Natsumi's office to ask for a loan. Natsumi is the bread winner for the family since he left., so she becomes angry at him. Later, Taro arrives at his former house unannounced and begins to live there. ",3030
15,Rapt,2009,DramaThriller,6.7 / 10,https://yts.rs/movie/rapt-2009," Stanislaff Graff, a rich industrialist with a wife and a lover, is kidnapped brutally from his limousine on the eve of his visit to China as part of the entourage of the French president. The kidnappers demand a fifty million euro ransom. In order to prove they are serious, they cut off one of his fingers. What follows is a terrifying sparring match between kidnappers, police and the board of the company of which Graff is the director. The main question for the board: is a human life worth more than fifty million euros? Will they be able to get that amount of money together in time anyway? While they decide this he degenerates physically and mentally in imprisonment. In the meantime, the press dredges up the businessman's past with revelations that are especially painful for his wife. —International Film Festival Rotterdam ",3737
16,Sister Emanuelle,1977,Drama,5.3 / 10,https://yts.rs/movie/sister-emanuelle-1977," Renouncing her ""sinful"" past, Emanuelle has entered a convent and has dedicated herself to a life of service. Enter Monica, the free-spirited, free-loving daughter of a wealthy Baron. Emanuelle is charged with keeping Monica in line, but when the young girl's wild ways bring back memories of her own sensual past, Emanuelle begins questioning her own religious and sexual identity. Advances from an escaped killer who is hiding in the convent serve to complicate matters further. —Jonathan Ruskin / edited by Rob ",14746
17,Bajo la Rosa,2017,CrimeDrama,6.3 / 10,https://yts.rs/movie/bajo-la-rosa-2017," Sara, the daughter of Oliver and Julia, suddenly disappears. Days pass without any news about the girl. But one morning, the family receives a letter from someone who claims to have Sara and wants to talk with them that night. ",4343
18,Deadtime Stories: Volume 1,2009,DramaHorror,4 / 10,https://yts.rs/movie/deadtime-stories-volume-1-2009," An anthology of three horror stories presented by George Romero. In ""Quota,"" a pair of young lovers drive to Lovers' Leap, only to be attacked by a mysterious creature. In ""Wet,"" a lonely man finds an empty box on the beach and opens it, with disastrous results. In ""Valley of the Shadow,"" a woman searches for her missing husband in the jungles of South America, only to be in great danger herself. —anonymous ",4242
19,American Reject,2022,ComedyMusic,4.4 / 10,https://yts.rs/movie/american-reject-2022," Kay is the most recent reject from America's hottest singing competition POP STAR NOW. As she mourns her public elimination, she's forced to participate in the network's ""After The Cut"" filming, and is sent to her hometown to move back in with her mother and the simple life she left behind. With nothing on the horizon and a camera man following her every move, she is reacquainted with the folks of her past and finds herself in the Easter Spectacular at the annual town fair. As it turns out, losing is her only way to win. ",5252
0,Marilyn's Eyes,2021,ComedyDrama,6.6 / 10,https://yts.rs/movie/marilyns-eyes-2021," Clara and Diego, under the guidance of the psychiatrist of a day rehabilitation center for disturbed people who attend, decide to transform the treatment center into a restaurant, involving all their other companions. ",5050
1,The Big Rant,2021,ComedyDrama,7.4 / 10,https://yts.rs/movie/the-big-rant-2021," When Harry, an Indian voice-over actor struggling to get his big break in Hollywood, finds out the plot of a recent best-selling novel greatly resembles the book he was working on 3 years ago, he tries to get back into writing but unforeseen circumstances arise. ",3838
2,Detective Conan: Crimson Love Letter,2017,ActionAdventure,6.5 / 10,https://yts.rs/movie/detective-conan-crimson-love-letter-2017," A bombing case at Nichiuri TV in autumn. The Satsuki Cup, which crowns the winner of Japan's Hyakunin Isshu, is currently being filmed inside the facility. The incident results in a big commotion and, while the building is burning to ashes, the only people left inside are Hattori and Toyama Kazuha . They get rescued just in time by Conan , who rushes to the scene. Both the identity and purposes of the bomber are unknown. While confusion takes over due to the explosion, Conan meets a mysterious beautiful girl who claims she is ""Heiji's fiancée"". Her name is Momiji Ooka and she is the Kyoto High School champion of karuta game. As fate would have it, Kazuha is going to face Momiji in the Hyakunin Isshu, so she begins to train with the help of Heiji's mother, Shizuoka ,who is a skilled Karuta player. At the same time, in a Japanese house in Arashiyama Kyoto's outskirts, the reigning Satsuki Cup champion is murdered. Pictures of the crime scene reveal Momji's presence. Additionally, several Karuta cards were spread around the victim. Conan and Heiji, along with the Osaka and Kyoto police departments, begin their investigation on the Satsuki Cup and the related murder case. As the inquiry goes on, they come across a secret connected with the Hyakunin Isshu. —Wafaa Almansour ",4545
3,Catherine Cohen: The Twist...? She's Gorgeous,2022,ComedyDocumentary,4.7 / 10,https://yts.rs/movie/catherine-cohen-the-twist-shes-gorgeous-2022," A sparkling cocktail of standup and song about looking for love, the absurdity of marathons and burying someone alive. ",4444
4,The Suppression of Hannah Stevenson,2022,FantasyHorror,3.3 / 10,https://yts.rs/movie/the-suppression-of-hannah-stevenson-2022," Matt and Hannah are a young couple enjoying their first foreign holiday together, but after one particularly eventful evening, the pair quickly discovers that they may not see eye-to-eye. Feeling as though she let her boyfriend down, Hannah enlists the help of a mysterious gypsy woman, in the hope that the couple's troubles can be overcome. However, when Matt wakes to find his girlfriend has disappeared, the gypsy women's true intentions become all too clear. —Mahou 5 star ",17776
5,Cold Wind Blowing,2022,ActionHorror,3 / 10,https://yts.rs/movie/cold-wind-blowing-2022," When a group of young friends take a trip to a remote mountain to get away from their families for Christmas, their stress-free getaway turns into a nightmare. Trapped in a cabin by a supernatural creature, their fight for survival puts their fracturing relationships to the test as it becomes increasingly clear that all of them won't be surviving the holidays. ",10908
6,The Cursed,2021,FantasyHorror,6.3 / 10,https://yts.rs/movie/the-cursed-2021," In the late nineteenth century, brutal land baron Seamus Laurent slaughters a Roma clan, unleashing a curse on his family and village. In the days that follow, the townspeople are plagued by nightmares, Seamus's son Edward goes missing, and a boy is found murdered. The locals suspect a wild animal, but visiting pathologist John McBride warns of a more sinister presence lurking in the woods. —Frank Liesenborgs ",40097
7,Clowning,2022,CrimeRomance,5.1 / 10,https://yts.rs/movie/clowning-2022," With his girlfriend pregnant, Dante, a pacifist hippie who makes lip balm called, Mama Earth; is struggling to keep his bills paid. After finding a mysterious flyer for a Birthday Clown Wanted, Dante calls the number and obtains the job. At the Birthday Party he meets a female clown named, Pele. After joining her Pity Party, Dante is pulled into an underworld and quickly finds himself in over his head. ",7272
8,Sin Eater,2022,HorrorThriller,3.1 / 10,https://yts.rs/movie/sin-eater-2022," When a woman on the run from her past suffers a terrifying injury, she becomes stranded in a town with a dark secret. As bizarre phenomena intensify and with no one to trust, she'll have to face her inner demons before a real one takes her soul. —Carmelo Chimera ",13332
9,Soul at Peace,2009,Drama,5.9 / 10,https://yts.rs/movie/soul-at-peace-2009," Tono, an ex-convict, returns home after spending five years in prison for stealing lumber. He comes to his village, Cierny Hron, and sees that everything has changed: a stranger to his wife and 5-year-old son and jobless, because no-one wants to hire a thief. ",2424
10,Playing with Fire,1975,Drama,6 / 10,https://yts.rs/movie/playing-with-fire-1975," When Carolina, the daughter of wealthy banker Georges de Saxe, is reported kidnapped, it is upsetting to him even though he knows it isn't true. The kidnappers have taken the wrong person. The banker hires Frantz a dishevelled, seedy detective to find his daughter and hide her safely away. She soon finds herself in a fantasy-land whorehouse, where all kinds of extreme perversions are routinely practised. There, a near-double of her father whips and then seduces her. Eventually, she and the private eye escape or leave, having extorted the kidnapping money from the girl's father. ",9393
11,Danger! Danger!,2021,ActionAdventure,3.2 / 10,https://yts.rs/movie/danger-danger-2021," It's 1985 and adventurer, Jonathan Danger, has just crash-landed onto an Island 20 miles off the coast of Africa. He's looking for a temple that may or may not be his ticket to go back in time. Too bad the Soviets got there first. Too bad they want to go back in time to change the events of the Space Race and the Cold War and World War II. Too bad he has a punctured a lung. Too bad he's been kidnapped by Jungle Jim and his sister Jade Calloway. Too bad he never gives up. ",7575
12,Lost Angel,2022,Thriller,4.6 / 10,https://yts.rs/movie/lost-angel-2022," News of a death sparks a young woman's quest for justice. ",12524
13,Spider-Man: No Way Home,2021,ActionAdventure,8.5 / 10,https://yts.rs/movie/spider-man-no-way-home-2021," Peter Parker's secret identity is revealed to the entire world. Desperate for help, Peter turns to Doctor Strange to make the world forget that he is Spider-Man. The spell goes horribly wrong and shatters the multiverse, bringing in monstrous villains that could destroy the world. ",3482177
14,The Attorney,2021,CrimeDrama,6.1 / 10,https://yts.rs/movie/the-attorney-2021," When a young man is accused of killing the daughter of Hong Kong's richest tycoon after a drunken tryst, his poor shop-owner grandmother insists he is innocent and seeks legal aid. Hotshot lawyer Lei You Hui, who lost a pivotal case defending local merchant's rights 10 years earlier, agrees to take the case, seeking redemption for the previous defeat. Lei's investigation unearths a conspiracy that may not only expose the truth behind the crime but also unravel a web of corruption. Alex Fong shines as the eponymous attorney in this gripping thriller woven around class struggle and moral bankruptcy. ",5555
15,Women Without Men,2009,Drama,6.3 / 10,https://yts.rs/movie/women-without-men-2009," Against the tumultuous backdrop of Iran's 1953 CIA-backed coup d'état, the destinies of four women converge in a beautiful orchard garden, where they find independence, solace and companionship. ",4747
16,The Image You Missed,2018,BiographyDocumentary,6.7 / 10,https://yts.rs/movie/the-image-you-missed-2018," An Irish filmmaker grapples with the legacy of his estranged father, the late documentarian Arthur MacCaig, through MacCaig's decades-spanning archive of the conflict in Northern Ireland. Drawing on over 30 years of unique and never-seen-before footage, 'The Image You Missed' is an experimental essay film that weaves together a history of the Northern Irish 'Troubles' with the story of a son's search for his father. In the process, the film creates a candid encounter between two filmmakers born into different political moments, revealing their contrasting experiences of Irish nationalism, the role of images in social struggle, and the competing claims of personal and political responsibility. ",5454
17,Spanish Fly,1998,ComedyRomance,4.7 / 10,https://yts.rs/movie/spanish-fly-1998," A woman reporter in over her head in trying to write a book on the male machismo in Spain finds the men don't match her story's expectations. She also finds herself involved in relationships with the wrong men. ",9494
18,Crimes of the Heart,1986,ComedyDrama,6.3 / 10,https://yts.rs/movie/crimes-of-the-heart-1986," Three sisters with quite different personalities and lives reunite when Babe, the youngest, has just shot her husband. Oldest sister Lenny takes care of their grandfather and is turning into an old maid. Meg, who aspires to make it in Hollywood as a singer and actress, has had a wild, man-filled life. Their reunion is joyful but also stirs up much tension. —Leon Wolters ",7272
19,Letters to Father Jacob,2009,Drama,7.3 / 10,https://yts.rs/movie/letters-to-father-jacob-2009," With few options, newly pardoned convict Leila agrees to work as an assistant to a blind pastor. Father Jacob spends his days answering the letters of the needy, which Leila finds pointless. But when the letters stop, the pastor is devastated and Leila finds herself cast in a new role. —Pusan International Film Festival ",4040
0,Sister of the Bride,2019,ComedyRomance,6.1 / 10,https://yts.rs/movie/sister-of-the-bride-2019," When anthropology professor Stephanie gets engaged to her boyfriend Ben after only sixth months of dating, they head to Stephanie's family's Palm Springs vacation house excited to share the news. But Stephanie's parents, Robert and Eleanore, are immediately concerned the couple has moved too fast and compares them to Stephanie's older sister, Tracy who also recently got engaged to her boyfriend of ten years, Preston. Since it was always their favorite holiday as kids, Stephanie and Tracy work out an arrangement where Tracy and Preston will get married this Fourth of July at the house and Stephanie and Ben will get married the next summer. But after Stephanie finds out her parents are selling the house, she realizes that her and Ben's plans must change. After Ben is offered a job abroad, Stephanie starts to wonder if perhaps her and Ben aren't on the same page about their future. As she spends the summer helping plan her sister's wedding, Stephanie learns that the love Ben and her share can carry them through any obstacle that comes their way. —Happy_Evil_Dude ",7575
1,Slate,2020,Action,5.3 / 10,https://yts.rs/movie/slate-2020," Since she was a child, Yeon-Hee dreamed of becoming an action star. Even though she has an amazing swordsmanship, the reality of reaching her goal is just too hard for her to handle. One day, she is hired as a stand-in for an action film and goes onto the set, only to be transported to a lawless parallel world where people carry swords and kill each other without any retribution. Almost immediately, she is welcomed to the village as their protector and is respected by the villagers. And to save the villagers as a heroine, she begins to fight the villains back. ",19998
2,Pandora's Promise,2013,Documentary,7.4 / 10,https://yts.rs/movie/pandoras-promise-2013," A feature-length documentary about the history and future of nuclear power. The film explores how and why mankind's most feared and controversial technological discovery is now passionately embraced by many of those who once led the charge against it. Operating as history, cultural meditation and contemporary exploration, PANDORA'S PROMISE aims to inspire a serious and realistic debate over what is without question the most important question of our time: how do we continue to power modern civilization without destroying it? —RS ",4747
3,23 Paces to Baker Street,1956,CrimeMystery,7 / 10,https://yts.rs/movie/23-paces-to-baker-street-1956," Famed American playwright Phillip Hannon is in London making revisions to his play currently running in the West End. He is doing this mundane work rather than write a new play since he has retreated from life following the recent and permanent loss of his sight. That retreat from life includes breaking off his engagement to his former secretary, Jean Lennox, who still loves him. One evening at his local pub, he overhears a conversation between a man and a woman that he knows involves criminal activity, what he surmises to be the kidnapping plot of a child in exactly one week's time. The local police patronizingly dismiss his report as the overactive imagination of a blind writer. With Jean and his faithful manservant Bob Matthews by his side - the former with some reluctance on Phil's part - Phil goes on a search to uncover the plot using what little pieces of information he has at hand, which includes the man's name being Evans, the woman, who is involved under duress, working as a nanny for a family whose head is formally a lady, that lady having attended a concert that evening, the family living along a certain bus route, and the nanny herself wearing an expensive perfume well beyond her means. His physical disability is an obvious disadvantage. But what may be working to Phil's advantage is his keen sense of dialogue and its subtext in deciphering the conversation, using his other senses which people with sight take for granted, and people, including the criminals, underestimating him because he's blind. —Huggo ",7171
4,Maniac Killer,1987,Horror,4.2 / 10,https://yts.rs/movie/maniac-killer-1987," A murderous cult kidnaps French prostitutes and tortures them to death to ""purify"" them of their evil ways. The local pimps, understandably upset, set out after them, as does a man whose girlfriend was kidnapped by the cult and may still be held by them. —[email protected] ",5656
5,One of Our Aircraft Is Missing,1942,ActionAdventure,7 / 10,https://yts.rs/movie/one-of-our-aircraft-is-missing-1942," During the Allied Bombing offensive of World War II the public was often informed that ""A raid took place last night over (city name). One (or often more) of our aircraft Is missing."" Behind these sombre words hid tales of death, destruction, and derring-do. This is the story of one such bomber crew who were shot down, and the brave Dutch patriots who helped them home. —Steve Crook ",7575
6,Goin' to Town,1935,ComedyMusical,6.5 / 10,https://yts.rs/movie/goin-to-town-1935," When her fiancée Buck Gonzales is killed, dance hall queen Cleo Borden inherits his wealth. Included are oil wells supervised by British engineer Carrington, whom Cleo sets out to win by becoming a ""lady."" She races her horse in Buenos Aires, gains social position by loveless marriage to bankrupt Colton, and even sings in an opera. But when she meets Carrington again, he's become the Earl of Stratton... —Rod Crawford ",5252
7,The Bikes of Wrath,2019,Documentary,7.9 / 10,https://yts.rs/movie/the-bikes-of-wrath-2019," In 2015 5 friends from Australia set out to bike from Oklahoma to California the same route the families traveled in John Steinbeck's The Grapes of Wrath. The friends did this on a budget of just $420 which is the equivalent to the $18 each family had on average that made the same trek during the dust bowl. They were overwhelmed by the generosity of the people in the states they biked through which are known as Red States. During the edited process of the documentary they realized this trek was more about the people they met than the actual trek. —alanmsylvester ",9595
8,Magic in the Water,1995,AdventureFamily,5.5 / 10,https://yts.rs/movie/magic-in-the-water-1995," Radio psychologist Jack Black takes his children Joshua and Ashley on a 'vacation' to a lake in British Columbia. While he grinds away at work the children discover that the famous local lake monster ""Orky"" may not be just a gimmick to attract tourists after all. In fact, Orky may enable them to get closer to their workaholic dad, and help stop local polluters who are dumping toxic waste into Orky's home. —Ron Kerrigan ",6161
9,Wonder Boy,2019,Documentary,6.7 / 10,https://yts.rs/movie/wonder-boy-2019," Autobiographical documentary on Olivier Roustein, artistic director of Balmain. ",3737
10,The Promised Land,2019,CrimeDrama,5.6 / 10,https://yts.rs/movie/the-promised-land-2019," A girl is kidnapped and the perpetrator roams freely. When a similar case occurs along the same road and in similar circumstances a suspect is identified leading to the accused running away and going into hiding. Another year on and another man falls into suspicion. It is too much to bear and a burden to carry, but with suspicion all around and no culprits apprehended the situation is somewhat understandable. —aghaemi ",4848
11,Sadako,2019,Horror,4.1 / 10,https://yts.rs/movie/sadako-2019," A girl with amnesia is under the care of counselor Mayu. The patient is under police guard and of special interest. Yet, not many know why and the girl herself is oblivious to everything. At the same time, Mayu's brother is one of those Internet wanna-bes and looking to become popular and gain attention. The boy begins his own adventures. —aghaemi ",6969
12,Conquest,1983,ActionAdventure,5.2 / 10,https://yts.rs/movie/conquest-1983," Italian sword and sorcery epic from splatter director Lucio Fulci loosely inspired from the Hercules mythos about two warriors on a quest and a vengeful demon who throws all kinds of nasty creatures along the way to fill scenes of gory violence. —Humberto Amador ",7373
13,Il ferroviere,1956,Drama,7.7 / 10,https://yts.rs/movie/il-ferroviere-1956," The railroad engineer Andrea Marcocci has been working with his partner and friend Gigi Liverani for thirty years and feels happy and proud with his work, drinking wine after hours with his friends in a bar owned by the former railroad man Ugo. Andrea is married with Sara and his young son Sandro is very close to him; however Andrea has issues with his unemployed son Marcello and with his pregnant daughter Giulia, whose boy-friend Renato Borghi was forced to marry her. When a suicidal crosses the tracks of his train in a curve, Andrea feels deeply affected by the accident and almost collides with another train. The railroad company investigates the accident and steps Andrea down from his position. The domestic life of Andrea is also affected by his aggressive behavior and Marcello and Giulia leave home. Later Andrea also leaves home and starts to drink until the day Sandro visits his father in a bar. —Claudio Carvalho, Rio de Janeiro, Brazil ",3232
14,Diana,2018,MysteryRomance,5.1 / 10,https://yts.rs/movie/diana-2018," The bedroom of an apartment in Paseo de la Castellana, Madrid. It is Sofia's bedroom, a deluxe escort. Her new client discovers the name that is tattoed on her leg 'Diana'... Is it your real name?' He introduced himself as Hugo, but his real name is Jano. Who is really Sofia? According to an interview aired on an investigative tv program, 'a social waste, a victim who didn't know how to survive the economic crisis'. Who is Jano? Society portrays him as a symbol of the entrepreneur of the future, an example to follow. Sofia's apartment becomes the stage where the personality or personalities of both will be revealed as onion layers until reaching the core. And the key to Sofia's is to discover who is Diana and what does she mean to her... ",20806
15,Belle of the Nineties,1934,ComedyDrama,6.4 / 10,https://yts.rs/movie/belle-of-the-nineties-1934," Ruby Carter, the American Beauty queen of the night club-sporting world, shifts her operations from St. Louis to New Orleans (which kind of belies the Western genre designation), mostly to get away from prizefighter Tiger Kid. Installed as the prize attraction of ""The Sensation Club"", ran by Ace Lamont, she quickly becomes the toast of the town and also marked as personal property by Ace, arousing the fury of Ace's former flame, Molly Brant. The not-overly-bright Tiger comes to town and is set for a title match with the champ by Ace, while the latter also has him steal some of Ruby's jewels. Ruby, no dumb-belle, figuring Ace has the fix in on the fight, uses some of her other jewels to lay a trap for Ace. Tiger confesses, after the fight, to Ruby his role in the jewel robbery while she hints that Ace was the one who slipped him the knock-out drops. Tiger goes after Ace, who, for his own reasons, has Molly locked in a closet. —Les Adams ",4545
16,Predator Coast,2012,Documentary,6.6 / 10,https://yts.rs/movie/predator-coast-2012," The southern coast of Africa features an array of battlefields as diverse as the predators who reign over them. In this concentrated mix of environments, lions rule the grasslands and leopards dominate the thick brush. Nile crocodiles and sharks rule the waters, while gannets control the skies. But all must bow to the power of the coastal plain's seasons: a ruthless cycle that has the power to give life and take it away. Enter these diverse domains and see how all creatures, hunters and hunted, must have a plan to survive the Predator Coast. ",4545
17,The Boss,1973,ActionCrime,7 / 10,https://yts.rs/movie/the-boss-1973," A bomb attack in a cinema in Palermo kills all the fellows of Attardi's clan a part from Cocchi. He immediately understands that the author of the bomb attack is Daniello from Don Corrasco's clan. Cocchi is determined to revenge. His actions, including the Corrasco's daughter kidnap, in a Palermo in which also the police is corrupted, will soon destroy the old equilibrium giving the way to an escalation of violence that won't save anyone. If Cocchi will survive to the mafia war he will be the new boss for sure. —1felco ",4141
18,Rings on Her Fingers,1942,ComedyCrime,6.7 / 10,https://yts.rs/movie/rings-on-her-fingers-1942," Susan Miller works behind the girdle counter in a department store and dreams about the beautiful clothes and glamour she can never hope to have. Enter May Worthington and Warren, a pair of con artists who pose as the mother and uncle of a pretty girl in order to separate millionaires from their money. They convince Susan she has an opportunity to fulfill all her dreams, and the trio heads for Palm Beach. Susan meets John Wheeler who says he is shopping for a sailboat. Believing that he is a millionaire, Warren and May sell him a boat that doesn't belong to them, and make off with his $15,000 life savings. Looking for greener pastures, they work themselves into the family of wealthy Tod Fenwick, who falls for Sue, posing as ""Linda Worthington"". But John shows up as a guest of Fenwick and he tells ""Linda"", not knowing she was part of the scam, that he has a detective after the fake captain that sold him the boat. John admits that he is not a millionaire but only a $65-a-week clerk. He asks her to marry him and, over the protests of May, she accepts. Tod, who has been away, wires Linda a marriage proposal which is intercepted by Warren, who accepts on her behalf via a return wire. He intends to blackmail her into marrying Tod and then blackmail the Fenwicks into dissolving the marriage. To get John's money back to him, which she has but can't tell him, Linda enlists the aid of Colonel Prentiss who runs a gambling house, and the machines are fixed so that John wins his money back. Linda and John go to the terminal to leave, but Tod shows up and she tries to keep him away from John, who knows her as Sue. —Les Adams ",5454
19,Without Apparent Motive,1971,MysteryThriller,6.4 / 10,https://yts.rs/movie/without-apparent-motive-1971," A strange series of murders are being committed in Nice on the French riviera. The commissionaire Carella is in charge and tries desperately to find a missing link between all of these murders. —Jean-Yves Simon ",3232
0,Chattahoochee,1989,BiographyDrama,6.3 / 10,https://yts.rs/movie/chattahoochee-1989," An American war hero attempts suicide and ends up in Chattahoochee State Mental Hospital. But he realizes that the doctors in the hospital are humiliating patients, and staff are murdering them. —Harun Mehmedinovic ",5555
1,Sidekicks,1992,ActionAdventure,5.1 / 10,https://yts.rs/movie/sidekicks-1992," Barry is an asthmatic kid having trouble in life. He lives with his father, a computer programmer, in Texas. Barry is struggling to get by in life, dealing with his rough school life, bullies, as well as his health. Barry's only source of enjoyment is fantasizing that he is with Chuck Norris. Barry becomes sick of getting picked on by the bigger guys, and decides to learn karate, in hopes of one day meeting the great Chuck Norris. —Anonymous ",11110
2,FTA,1972,ComedyDocumentary,6.5 / 10,https://yts.rs/movie/fta-1972," A documentary about a political troupe headed by actors Jane Fonda and Donald Sutherland which traveled to towns near military bases in the US in the early 1970s. The group put on shows called ""F.T.A."", which stood for ""F**k the Army"", and was aimed at convincing soldiers to voice their opposition to the Vietnam War, which was raging at the time. Various singers, actors and other entertainers performed antiwar songs and skits during the show. —[email protected] ",3636
